"???","????","??","???","?(%)"
"0","??","254842","28529","11.19"
"1","???","13752","1275","9.27"
"2","???","4555","122","2.68"
"3","???","5637","86","1.53"
"4","???","5501","165","3.00"
"5","???","3642","80","2.20"
"6","???","3539","22","0.62"
"7","???","6239","151","2.42"
"8","???","6815","247","3.62"
"9","???","4201","1415","33.68"
"10","???","4952","140","2.83"
"11","???","9097","611","6.72"
"12","???","10048","1313","13.07"
"13","???","9446","5277","55.86"
"14","????","8466","5017","59.26"
"15","???","6495","87","1.34"
"16","???","2979","20","0.67"
"17","???","3437","160","4.66"
"18","???","3357","135","4.02"
"19","???","2159","184","8.52"
"20","???","8821","193","2.19"
"21","???","5851","83","1.42"
"22","???","8306","986","11.87"
"23","???","8064","547","6.78"
"24","???","4864","45","0.93"
"25","???","4508","143","3.17"
"26","???","4120","576","13.98"
"27","???","5844","1637","28.01"
"28","???","8863","1108","12.50"
"29","???","2297","430","18.72"
"30","????","2587","50","1.93"
"31","???","2963","210","7.09"
"32","???","4769","19","0.40"
"33","???","5349","132","2.47"
"34","???","7640","826","10.81"
"35","???","3913","120","3.07"
"36","???","2031","182","8.96"
"37","???","1762","351","19.92"
"38","???","3169","3163","99.81"
"39","???","3858","161","4.17"
"40","???","7733","454","5.87"
"41","???","2855","32","1.12"
"42","???","4851","32","0.66"
"43","???","6010","32","0.53"
"44","???","5965","92","1.54"
"45","???","4099","21","0.51"
"46","????","7432","134","1.80"
"47","???","2001","263","13.14"
