"???","????","??","???","?(%)"
"0","??","26503","9538","35.99"
"1","???","1643","659","40.11"
"2","???","412","132","32.04"
"3","???","367","73","19.89"
"4","???","359","254","70.75"
"5","???","352","131","37.22"
"6","???","393","262","66.67"
"7","???","623","154","24.72"
"8","???","951","206","21.66"
"9","???","560","174","31.07"
"10","???","570","178","31.23"
"11","???","962","398","41.37"
"12","???","987","349","35.36"
"13","???","974","679","69.71"
"14","????","830","828","99.76"
"15","???","830","155","18.67"
"16","???","357","76","21.29"
"17","???","309","82","26.54"
"18","???","249","50","20.08"
"19","???","324","199","61.42"
"20","???","786","171","21.76"
"21","???","639","110","17.21"
"22","???","939","608","64.75"
"23","???","1334","558","41.83"
"24","???","505","148","29.31"
"25","???","294","141","47.96"
"26","???","384","231","60.16"
"27","???","867","479","55.25"
"28","???","931","263","28.25"
"29","???","255","93","36.47"
"30","????","276","36","13.04"
"31","???","201","54","26.87"
"32","???","295","37","12.54"
"33","???","522","86","16.48"
"34","???","648","121","18.67"
"35","???","406","163","40.15"
"36","???","308","131","42.53"
"37","???","307","188","61.24"
"38","???","494","66","13.36"
"39","???","299","77","25.75"
"40","???","792","117","14.77"
"41","???","274","47","17.15"
"42","???","401","45","11.22"
"43","???","559","44","7.87"
"44","???","420","40","9.52"
"45","???","371","71","19.14"
"46","????","721","198","27.46"
"47","???","223","176","78.92"
