"???","????","??","???","?(%)"
"0","??","6715","4918","73.24"
"1","???","428","65","15.19"
"2","???","115","9","7.83"
"3","???","150","10","6.67"
"4","???","139","42","30.22"
"5","???","100","15","15.00"
"6","???","119","22","18.49"
"7","???","165","16","9.70"
"8","???","150","20","13.33"
"9","???","195","119","61.03"
"10","???","118","112","94.92"
"11","???","124","113","91.13"
"12","???","245","238","97.14"
"13","???","256","250","97.66"
"14","????","138","135","97.83"
"15","???","222","9","4.05"
"16","???","93","87","93.55"
"17","???","112","110","98.21"
"18","???","96","92","95.83"
"19","???","127","121","95.28"
"20","???","158","6","3.80"
"21","???","138","134","97.10"
"22","???","151","146","96.69"
"23","???","163","161","98.77"
"24","???","149","140","93.96"
"25","???","106","105","99.06"
"26","???","97","96","98.97"
"27","???","46","44","95.65"
"28","???","275","266","96.73"
"29","???","110","107","97.27"
"30","????","108","107","99.07"
"31","???","87","83","95.40"
"32","???","141","127","90.07"
"33","???","193","185","95.85"
"34","???","143","137","95.80"
"35","???","168","159","94.64"
"36","???","105","102","97.14"
"37","???","105","101","96.19"
"38","???","166","164","98.80"
"39","???","90","85","94.44"
"40","???","107","104","97.20"
"41","???","110","108","98.18"
"42","???","127","113","88.98"
"43","???","116","105","90.52"
"44","???","113","107","94.69"
"45","???","109","108","99.08"
"46","????","161","154","95.65"
"47","???","81","79","97.53"
