"???","????","??","???","?(%)"
"0","??","24526","18050","73.60"
"1","???","1515","99","6.53"
"2","???","362","25","6.91"
"3","???","433","24","5.54"
"4","???","456","25","5.48"
"5","???","401","15","3.74"
"6","???","398","9","2.26"
"7","???","548","25","4.56"
"8","???","522","35","6.70"
"9","???","359","13","3.62"
"10","???","340","334","98.24"
"11","???","645","633","98.14"
"12","???","723","712","98.48"
"13","???","1512","1491","98.61"
"14","????","767","756","98.57"
"15","???","682","14","2.05"
"16","???","292","273","93.49"
"17","???","328","317","96.65"
"18","???","243","237","97.53"
"19","???","268","254","94.78"
"20","???","660","20","3.03"
"21","???","457","444","97.16"
"22","???","603","575","95.36"
"23","???","933","905","97.00"
"24","???","467","449","96.15"
"25","???","261","259","99.23"
"26","???","476","472","99.16"
"27","???","1122","1110","98.93"
"28","???","965","949","98.34"
"29","???","323","313","96.90"
"30","????","317","313","98.74"
"31","???","247","238","96.36"
"32","???","379","369","97.36"
"33","???","534","513","96.07"
"34","???","704","689","97.87"
"35","???","420","413","98.33"
"36","???","239","227","94.98"
"37","???","227","223","98.24"
"38","???","400","391","97.75"
"39","???","323","318","98.45"
"40","???","814","797","97.91"
"41","???","207","198","95.65"
"42","???","448","437","97.54"
"43","???","569","551","96.84"
"44","???","402","390","97.01"
"45","???","310","296","95.48"
"46","????","721","703","97.50"
"47","???","204","197","96.57"
